dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,obs_date,date_time,last_mod,provider,owner,oceano,depth,ds_type,platform
1047,1047_8719,35.7,-127.08,046,Physeter macrocephalus,Sperm Whale,180488,1,,2001-08-03,2001-08-03 18:36:15,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.0900,""CHL_Y"":0.2000,""SSH_D"":60.11,""SST_D"":18.375,""SST_M"":18.450,""SST_Y"":15.225,""BATH"":-4805,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9009,34.73,-125.69,017,Delphinus delphis,Short-beaked Common Dolphin,180438,400,,2001-10-12,2001-10-12 17:12:15,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.4500,""CHL_Y"":0.2300,""SSH_D"":52.28,""SST_D"":-9999,""SST_M"":16.425,""SST_Y"":15.000,""BATH"":-4659,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9008,34.58,-125.8,017,Delphinus delphis,Short-beaked Common Dolphin,180438,14,,2001-10-12,2001-10-12 14:57:04,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.4900,""CHL_Y"":0.2400,""SSH_D"":55.71,""SST_D"":-9999,""SST_M"":16.425,""SST_Y"":15.375,""BATH"":-4669,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9090,38.8,-127.38,077,Cetacea,cetaceans,180403,15,,2001-11-04,2001-11-04 13:28:59,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.1600,""CHL_M"":0.2300,""CHL_Y"":0.2700,""SSH_D"":62.99,""SST_D"":15.225,""SST_M"":15.375,""SST_Y"":13.650,""BATH"":-4342,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9088,38.85,-127.46,017,Delphinus delphis,Short-beaked Common Dolphin,180438,7,,2001-11-04,2001-11-04 12:55:00,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.1900,""CHL_M"":0.2200,""CHL_Y"":0.2800,""SSH_D"":63.74,""SST_D"":-9999,""SST_M"":14.925,""SST_Y"":13.575,""BATH"":-4383,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9092,38.79,-127.32,027,Lissodelphis borealis,Northern Right Whale Dolphin,180454,6,,2001-11-04,2001-11-04 13:49:52,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.1600,""CHL_M"":0.2100,""CHL_Y"":0.2700,""SSH_D"":62.99,""SST_D"":15.375,""SST_M"":15.375,""SST_Y"":13.950,""BATH"":-4327,""EEZ"":163,""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8704,33.97,-125.67,013,Stenella coeruleoalba,Striped Dolphin,180434,53,,2001-08-02,2001-08-02 13:51:31,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.2400,""CHL_M"":0.1900,""CHL_Y"":0.2100,""SSH_D"":61.34,""SST_D"":18.150,""SST_M"":17.700,""SST_Y"":15.600,""BATH"":-4519,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8705,33.97,-125.67,017,Delphinus delphis,Short-beaked Common Dolphin,180438,52,,2001-08-02,2001-08-02 13:51:31,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":0.2400,""CHL_M"":0.1900,""CHL_Y"":0.2100,""SSH_D"":61.34,""SST_D"":18.150,""SST_M"":17.700,""SST_Y"":15.600,""BATH"":-4519,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
1047,1047_8772,46.08,-129.98,044,Phocoenoides dalli,Dall's Porpoise,180480,2,,2001-08-14,2001-08-14 08:27:57,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.3100,""CHL_Y"":0.3200,""SSH_D"":54.65,""SST_D"":16.200,""SST_M"":15.225,""SST_Y"":12.150,""BATH"":-1768,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":2,""MEOW"":""NULL""",,ptobs,boat
1047,1047_9015,42.45,-130.72,017,Delphinus delphis,Short-beaked Common Dolphin,180438,3,,2001-10-18,2001-10-18 16:51:47,2013-11-26 12:19:27,NOAA Southwest Fisheries Science Center (SWFSC),Tim.Gerrodette,"""CHL_D"":-9999,""CHL_M"":0.1500,""CHL_Y"":0.2200,""SSH_D"":64.92,""SST_D"":17.100,""SST_M"":17.775,""SST_Y"":14.775,""BATH"":-3411,""EEZ"":""NULL"",""WDPA"":""NULL"",""LME"":3,""MEOW"":""NULL""",,ptobs,boat
